frame,seconds,midi,note,velocity,instrument,pan
0,0.000,76,E5,0.67,0,0.16
15,0.500,74,D5,0.48,0,0.16
30,1.000,72,C5,0.67,0,0.16
45,1.500,76,E5,0.48,0,0.16
0,0.000,36,C2,0.6,1,-0.12
30,1.000,43,G2,0.39,1,-0.12
0,0.000,60,C4,0.22,0,-0.24
5,0.167,67,G4,0.22,0,-0.24
10,0.333,64,E4,0.22,0,-0.24
15,0.500,67,G4,0.22,0,-0.24
20,0.667,60,C4,0.22,0,-0.24
25,0.833,67,G4,0.22,0,-0.24
30,1.000,64,E4,0.22,0,-0.24
35,1.167,67,G4,0.22,0,-0.24
40,1.333,60,C4,0.22,0,-0.24
45,1.500,67,G4,0.22,0,-0.24
50,1.667,64,E4,0.22,0,-0.24
55,1.833,67,G4,0.22,0,-0.24
0,0.000,0,C-1,0.1,2,0
15,0.500,0,C-1,0.1,3,0
30,1.000,0,C-1,0.1,2,0
45,1.500,0,C-1,0.1,3,0
60,2.000,77,F5,0.67,0,0.16
75,2.500,76,E5,0.48,0,0.16
90,3.000,74,D5,0.67,0,0.16
105,3.500,72,C5,0.48,0,0.16
60,2.000,41,F2,0.6,1,-0.12
90,3.000,48,C3,0.39,1,-0.12
60,2.000,65,F4,0.22,0,-0.24
65,2.167,72,C5,0.22,0,-0.24
70,2.333,69,A4,0.22,0,-0.24
75,2.500,72,C5,0.22,0,-0.24
80,2.667,65,F4,0.22,0,-0.24
85,2.833,72,C5,0.22,0,-0.24
90,3.000,69,A4,0.22,0,-0.24
95,3.167,72,C5,0.22,0,-0.24
100,3.333,65,F4,0.22,0,-0.24
105,3.500,72,C5,0.22,0,-0.24
110,3.667,69,A4,0.22,0,-0.24
115,3.833,72,C5,0.22,0,-0.24
60,2.000,0,C-1,0.1,2,0
75,2.500,0,C-1,0.1,3,0
90,3.000,0,C-1,0.1,2,0
105,3.500,0,C-1,0.1,3,0
120,4.000,74,D5,0.67,0,0.16
135,4.500,76,E5,0.48,0,0.16
150,5.000,74,D5,0.67,0,0.16
165,5.500,79,G5,0.48,0,0.16
120,4.000,43,G2,0.6,1,-0.12
150,5.000,50,D3,0.39,1,-0.12
120,4.000,67,G4,0.22,0,-0.24
125,4.167,74,D5,0.22,0,-0.24
130,4.333,71,B4,0.22,0,-0.24
135,4.500,74,D5,0.22,0,-0.24
140,4.667,67,G4,0.22,0,-0.24
145,4.833,74,D5,0.22,0,-0.24
150,5.000,71,B4,0.22,0,-0.24
155,5.167,74,D5,0.22,0,-0.24
160,5.333,67,G4,0.22,0,-0.24
165,5.500,74,D5,0.22,0,-0.24
170,5.667,71,B4,0.22,0,-0.24
175,5.833,74,D5,0.22,0,-0.24
120,4.000,0,C-1,0.1,2,0
135,4.500,0,C-1,0.1,3,0
150,5.000,0,C-1,0.1,2,0
165,5.500,0,C-1,0.1,3,0
180,6.000,76,E5,0.67,0,0.16
195,6.500,74,D5,0.48,0,0.16
210,7.000,72,C5,0.67,0,0.16
225,7.500,72,C5,0.48,0,0.16
180,6.000,36,C2,0.6,1,-0.12
210,7.000,43,G2,0.39,1,-0.12
180,6.000,60,C4,0.22,0,-0.24
185,6.167,67,G4,0.22,0,-0.24
190,6.333,64,E4,0.22,0,-0.24
195,6.500,67,G4,0.22,0,-0.24
200,6.667,60,C4,0.22,0,-0.24
205,6.833,67,G4,0.22,0,-0.24
210,7.000,64,E4,0.22,0,-0.24
215,7.167,67,G4,0.22,0,-0.24
220,7.333,60,C4,0.22,0,-0.24
225,7.500,67,G4,0.22,0,-0.24
230,7.667,64,E4,0.22,0,-0.24
235,7.833,67,G4,0.22,0,-0.24
180,6.000,0,C-1,0.1,2,0
195,6.500,0,C-1,0.1,3,0
210,7.000,0,C-1,0.1,2,0
225,7.500,0,C-1,0.1,3,0
240,8.000,79,G5,0.67,0,0.16
255,8.500,76,E5,0.48,0,0.16
270,9.000,74,D5,0.67,0,0.16
285,9.500,72,C5,0.48,0,0.16
240,8.000,36,C2,0.6,1,-0.12
270,9.000,43,G2,0.39,1,-0.12
240,8.000,60,C4,0.22,0,-0.24
245,8.167,67,G4,0.22,0,-0.24
250,8.333,64,E4,0.22,0,-0.24
255,8.500,67,G4,0.22,0,-0.24
260,8.667,60,C4,0.22,0,-0.24
265,8.833,67,G4,0.22,0,-0.24
270,9.000,64,E4,0.22,0,-0.24
275,9.167,67,G4,0.22,0,-0.24
280,9.333,60,C4,0.22,0,-0.24
285,9.500,67,G4,0.22,0,-0.24
290,9.667,64,E4,0.22,0,-0.24
295,9.833,67,G4,0.22,0,-0.24
240,8.000,0,C-1,0.1,2,0
255,8.500,0,C-1,0.1,3,0
270,9.000,0,C-1,0.1,2,0
285,9.500,0,C-1,0.1,3,0
300,10.000,77,F5,0.67,0,0.16
315,10.500,79,G5,0.48,0,0.16
330,11.000,81,A5,0.67,0,0.16
345,11.500,77,F5,0.48,0,0.16
300,10.000,41,F2,0.6,1,-0.12
330,11.000,48,C3,0.39,1,-0.12
300,10.000,65,F4,0.22,0,-0.24
305,10.167,72,C5,0.22,0,-0.24
310,10.333,69,A4,0.22,0,-0.24
315,10.500,72,C5,0.22,0,-0.24
320,10.667,65,F4,0.22,0,-0.24
325,10.833,72,C5,0.22,0,-0.24
330,11.000,69,A4,0.22,0,-0.24
335,11.167,72,C5,0.22,0,-0.24
340,11.333,65,F4,0.22,0,-0.24
345,11.500,72,C5,0.22,0,-0.24
350,11.667,69,A4,0.22,0,-0.24
355,11.833,72,C5,0.22,0,-0.24
300,10.000,0,C-1,0.1,2,0
315,10.500,0,C-1,0.1,3,0
330,11.000,0,C-1,0.1,2,0
345,11.500,0,C-1,0.1,3,0
360,12.000,79,G5,0.67,0,0.16
375,12.500,77,F5,0.48,0,0.16
390,13.000,74,D5,0.67,0,0.16
405,13.500,79,G5,0.48,0,0.16
360,12.000,43,G2,0.6,1,-0.12
390,13.000,50,D3,0.39,1,-0.12
360,12.000,67,G4,0.22,0,-0.24
365,12.167,74,D5,0.22,0,-0.24
370,12.333,71,B4,0.22,0,-0.24
375,12.500,74,D5,0.22,0,-0.24
380,12.667,67,G4,0.22,0,-0.24
385,12.833,74,D5,0.22,0,-0.24
390,13.000,71,B4,0.22,0,-0.24
395,13.167,74,D5,0.22,0,-0.24
400,13.333,67,G4,0.22,0,-0.24
405,13.500,74,D5,0.22,0,-0.24
410,13.667,71,B4,0.22,0,-0.24
415,13.833,74,D5,0.22,0,-0.24
360,12.000,0,C-1,0.1,2,0
375,12.500,0,C-1,0.1,3,0
390,13.000,0,C-1,0.1,2,0
405,13.500,0,C-1,0.1,3,0
420,14.000,76,E5,0.67,0,0.16
435,14.500,74,D5,0.48,0,0.16
450,15.000,72,C5,0.67,0,0.16
465,15.500,72,C5,0.48,0,0.16
420,14.000,36,C2,0.6,1,-0.12
450,15.000,43,G2,0.39,1,-0.12
420,14.000,60,C4,0.22,0,-0.24
425,14.167,67,G4,0.22,0,-0.24
430,14.333,64,E4,0.22,0,-0.24
435,14.500,67,G4,0.22,0,-0.24
440,14.667,60,C4,0.22,0,-0.24
445,14.833,67,G4,0.22,0,-0.24
450,15.000,64,E4,0.22,0,-0.24
455,15.167,67,G4,0.22,0,-0.24
460,15.333,60,C4,0.22,0,-0.24
465,15.500,67,G4,0.22,0,-0.24
470,15.667,64,E4,0.22,0,-0.24
475,15.833,67,G4,0.22,0,-0.24
420,14.000,0,C-1,0.1,2,0
435,14.500,0,C-1,0.1,3,0
450,15.000,0,C-1,0.1,2,0
465,15.500,0,C-1,0.1,3,0
480,16.000,76,E5,0.67,0,0.16
495,16.500,74,D5,0.48,0,0.16
510,17.000,72,C5,0.67,0,0.16
525,17.500,76,E5,0.48,0,0.16
480,16.000,36,C2,0.6,1,-0.12
510,17.000,43,G2,0.39,1,-0.12
480,16.000,60,C4,0.22,0,-0.24
485,16.167,67,G4,0.22,0,-0.24
490,16.333,64,E4,0.22,0,-0.24
495,16.500,67,G4,0.22,0,-0.24
500,16.667,60,C4,0.22,0,-0.24
505,16.833,67,G4,0.22,0,-0.24
510,17.000,64,E4,0.22,0,-0.24
515,17.167,67,G4,0.22,0,-0.24
520,17.333,60,C4,0.22,0,-0.24
525,17.500,67,G4,0.22,0,-0.24
530,17.667,64,E4,0.22,0,-0.24
535,17.833,67,G4,0.22,0,-0.24
