frame,seconds,midi,note,velocity,instrument,pan
0,0.000,76,E5,0.67,0,0.16
15,0.500,74,D5,0.48,0,0.16
30,1.000,72,C5,0.67,0,0.16
45,1.500,76,E5,0.48,0,0.16
0,0.000,36,C2,0.6,1,-0.12
30,1.000,43,G2,0.39,1,-0.12
0,0.000,0,C-1,0.1,2,0
15,0.500,0,C-1,0.1,3,0
30,1.000,0,C-1,0.1,2,0
45,1.500,0,C-1,0.1,3,0
60,2.000,77,F5,0.67,0,0.16
75,2.500,76,E5,0.48,0,0.16
90,3.000,74,D5,0.67,0,0.16
105,3.500,72,C5,0.48,0,0.16
60,2.000,41,F2,0.6,1,-0.12
90,3.000,48,C3,0.39,1,-0.12
60,2.000,0,C-1,0.1,2,0
75,2.500,0,C-1,0.1,3,0
90,3.000,0,C-1,0.1,2,0
105,3.500,0,C-1,0.1,3,0
120,4.000,74,D5,0.67,0,0.16
135,4.500,76,E5,0.48,0,0.16
150,5.000,74,D5,0.67,0,0.16
165,5.500,79,G5,0.48,0,0.16
120,4.000,43,G2,0.6,1,-0.12
150,5.000,50,D3,0.39,1,-0.12
120,4.000,0,C-1,0.1,2,0
135,4.500,0,C-1,0.1,3,0
150,5.000,0,C-1,0.1,2,0
165,5.500,0,C-1,0.1,3,0
180,6.000,76,E5,0.67,0,0.16
195,6.500,74,D5,0.48,0,0.16
210,7.000,72,C5,0.67,0,0.16
225,7.500,72,C5,0.48,0,0.16
180,6.000,36,C2,0.6,1,-0.12
210,7.000,43,G2,0.39,1,-0.12
180,6.000,0,C-1,0.1,2,0
195,6.500,0,C-1,0.1,3,0
210,7.000,0,C-1,0.1,2,0
225,7.500,0,C-1,0.1,3,0
240,8.000,79,G5,0.67,0,0.16
255,8.500,76,E5,0.48,0,0.16
270,9.000,74,D5,0.67,0,0.16
285,9.500,72,C5,0.48,0,0.16
240,8.000,36,C2,0.6,1,-0.12
270,9.000,43,G2,0.39,1,-0.12
240,8.000,0,C-1,0.1,2,0
255,8.500,0,C-1,0.1,3,0
270,9.000,0,C-1,0.1,2,0
285,9.500,0,C-1,0.1,3,0
300,10.000,77,F5,0.67,0,0.16
315,10.500,79,G5,0.48,0,0.16
330,11.000,81,A5,0.67,0,0.16
345,11.500,77,F5,0.48,0,0.16
300,10.000,41,F2,0.6,1,-0.12
330,11.000,48,C3,0.39,1,-0.12
300,10.000,0,C-1,0.1,2,0
315,10.500,0,C-1,0.1,3,0
330,11.000,0,C-1,0.1,2,0
345,11.500,0,C-1,0.1,3,0
360,12.000,79,G5,0.67,0,0.16
375,12.500,77,F5,0.48,0,0.16
390,13.000,74,D5,0.67,0,0.16
405,13.500,79,G5,0.48,0,0.16
360,12.000,43,G2,0.6,1,-0.12
390,13.000,50,D3,0.39,1,-0.12
360,12.000,0,C-1,0.1,2,0
375,12.500,0,C-1,0.1,3,0
390,13.000,0,C-1,0.1,2,0
405,13.500,0,C-1,0.1,3,0
420,14.000,76,E5,0.67,0,0.16
435,14.500,74,D5,0.48,0,0.16
450,15.000,72,C5,0.67,0,0.16
465,15.500,72,C5,0.48,0,0.16
420,14.000,36,C2,0.6,1,-0.12
450,15.000,43,G2,0.39,1,-0.12
420,14.000,0,C-1,0.1,2,0
435,14.500,0,C-1,0.1,3,0
450,15.000,0,C-1,0.1,2,0
465,15.500,0,C-1,0.1,3,0
480,16.000,76,E5,0.67,0,0.16
495,16.500,74,D5,0.48,0,0.16
510,17.000,72,C5,0.67,0,0.16
525,17.500,76,E5,0.48,0,0.16
480,16.000,36,C2,0.6,1,-0.12
510,17.000,43,G2,0.39,1,-0.12
480,16.000,0,C-1,0.1,2,0
495,16.500,0,C-1,0.1,3,0
510,17.000,0,C-1,0.1,2,0
525,17.500,0,C-1,0.1,3,0
540,18.000,77,F5,0.67,0,0.16
555,18.500,76,E5,0.48,0,0.16
570,19.000,74,D5,0.67,0,0.16
585,19.500,72,C5,0.48,0,0.16
540,18.000,41,F2,0.6,1,-0.12
570,19.000,48,C3,0.39,1,-0.12
540,18.000,65,F4,0.22,0,-0.24
545,18.167,72,C5,0.22,0,-0.24
550,18.333,69,A4,0.22,0,-0.24
555,18.500,72,C5,0.22,0,-0.24
560,18.667,65,F4,0.22,0,-0.24
565,18.833,72,C5,0.22,0,-0.24
570,19.000,69,A4,0.22,0,-0.24
575,19.167,72,C5,0.22,0,-0.24
580,19.333,65,F4,0.22,0,-0.24
585,19.500,72,C5,0.22,0,-0.24
590,19.667,69,A4,0.22,0,-0.24
595,19.833,72,C5,0.22,0,-0.24
540,18.000,0,C-1,0.1,2,0
555,18.500,0,C-1,0.1,3,0
570,19.000,0,C-1,0.1,2,0
585,19.500,0,C-1,0.1,3,0
600,20.000,74,D5,0.67,0,0.16
615,20.500,76,E5,0.48,0,0.16
630,21.000,74,D5,0.67,0,0.16
645,21.500,79,G5,0.48,0,0.16
600,20.000,43,G2,0.6,1,-0.12
630,21.000,50,D3,0.39,1,-0.12
600,20.000,67,G4,0.22,0,-0.24
605,20.167,74,D5,0.22,0,-0.24
610,20.333,71,B4,0.22,0,-0.24
615,20.500,74,D5,0.22,0,-0.24
620,20.667,67,G4,0.22,0,-0.24
625,20.833,74,D5,0.22,0,-0.24
630,21.000,71,B4,0.22,0,-0.24
635,21.167,74,D5,0.22,0,-0.24
640,21.333,67,G4,0.22,0,-0.24
645,21.500,74,D5,0.22,0,-0.24
650,21.667,71,B4,0.22,0,-0.24
655,21.833,74,D5,0.22,0,-0.24
600,20.000,0,C-1,0.1,2,0
615,20.500,0,C-1,0.1,3,0
630,21.000,0,C-1,0.1,2,0
645,21.500,0,C-1,0.1,3,0
660,22.000,76,E5,0.67,0,0.16
675,22.500,74,D5,0.48,0,0.16
690,23.000,72,C5,0.67,0,0.16
705,23.500,72,C5,0.48,0,0.16
660,22.000,36,C2,0.6,1,-0.12
690,23.000,43,G2,0.39,1,-0.12
660,22.000,60,C4,0.22,0,-0.24
665,22.167,67,G4,0.22,0,-0.24
670,22.333,64,E4,0.22,0,-0.24
675,22.500,67,G4,0.22,0,-0.24
680,22.667,60,C4,0.22,0,-0.24
685,22.833,67,G4,0.22,0,-0.24
690,23.000,64,E4,0.22,0,-0.24
695,23.167,67,G4,0.22,0,-0.24
700,23.333,60,C4,0.22,0,-0.24
705,23.500,67,G4,0.22,0,-0.24
710,23.667,64,E4,0.22,0,-0.24
715,23.833,67,G4,0.22,0,-0.24
660,22.000,0,C-1,0.1,2,0
675,22.500,0,C-1,0.1,3,0
690,23.000,0,C-1,0.1,2,0
705,23.500,0,C-1,0.1,3,0
720,24.000,79,G5,0.67,0,0.16
735,24.500,76,E5,0.48,0,0.16
750,25.000,74,D5,0.67,0,0.16
765,25.500,72,C5,0.48,0,0.16
720,24.000,36,C2,0.6,1,-0.12
750,25.000,43,G2,0.39,1,-0.12
720,24.000,60,C4,0.22,0,-0.24
725,24.167,67,G4,0.22,0,-0.24
730,24.333,64,E4,0.22,0,-0.24
735,24.500,67,G4,0.22,0,-0.24
740,24.667,60,C4,0.22,0,-0.24
745,24.833,67,G4,0.22,0,-0.24
750,25.000,64,E4,0.22,0,-0.24
755,25.167,67,G4,0.22,0,-0.24
760,25.333,60,C4,0.22,0,-0.24
765,25.500,67,G4,0.22,0,-0.24
770,25.667,64,E4,0.22,0,-0.24
775,25.833,67,G4,0.22,0,-0.24
720,24.000,0,C-1,0.1,2,0
735,24.500,0,C-1,0.1,3,0
750,25.000,0,C-1,0.1,2,0
765,25.500,0,C-1,0.1,3,0
780,26.000,77,F5,0.67,0,0.16
795,26.500,79,G5,0.48,0,0.16
810,27.000,81,A5,0.67,0,0.16
825,27.500,77,F5,0.48,0,0.16
780,26.000,41,F2,0.6,1,-0.12
810,27.000,48,C3,0.39,1,-0.12
780,26.000,65,F4,0.22,0,-0.24
785,26.167,72,C5,0.22,0,-0.24
790,26.333,69,A4,0.22,0,-0.24
795,26.500,72,C5,0.22,0,-0.24
800,26.667,65,F4,0.22,0,-0.24
805,26.833,72,C5,0.22,0,-0.24
810,27.000,69,A4,0.22,0,-0.24
815,27.167,72,C5,0.22,0,-0.24
820,27.333,65,F4,0.22,0,-0.24
825,27.500,72,C5,0.22,0,-0.24
830,27.667,69,A4,0.22,0,-0.24
835,27.833,72,C5,0.22,0,-0.24
780,26.000,0,C-1,0.1,2,0
